year,month,session,talk_title,speaker,words
1999,4,Sunday Afternoon Session,Inspired Church Welfare,Joseph B. Wirthlin,2352
1999,4,Sunday Afternoon Session,Like a Flame Unquenchable,M. Russell Ballard,2212
1999,4,Sunday Afternoon Session,Thanks to the Lord for His Blessings,Gordon B. Hinckley,978
1999,4,Sunday Afternoon Session,The Power of Teaching Doctrine,Henry B. Eyring,2614
1999,4,Sunday Afternoon Session,Welcome Home,Keith B. McMullin,1792
1999,4,Sunday Afternoon Session,Your Name Is Safe in Our Home,Cree-L Kofford,1654
1999,4,Sunday Morning Session,"“He Is Not Here, but Is Risen”",Gordon B. Hinckley,2486
1999,4,Sunday Morning Session,"For I Was Blind, but Now I See",Thomas S. Monson,2364
1999,4,Sunday Morning Session,Friendship:A Gospel Principle,Marlin K. Jensen,1586
1999,4,Sunday Morning Session,Love and Service,David B. Haight,1847
1999,4,Sunday Morning Session,Our Only Chance,Sheri L. Dew,1762
1999,4,Sunday Morning Session,The Bishop and His Counselors,Boyd K. Packer,2008
1999,10,General Relief Society Meeting,"Home, Family, and Personal Enrichment",Virginia U. Jensen,1949
1999,10,General Relief Society Meeting,"Rejoice, Daughters of Zion",Mary Ellen W. Smoot,2090
1999,10,General Relief Society Meeting,We Are Women of God,Sheri L. Dew,2080
1999,10,General Relief Society Meeting,What It Means to Be a Daughter of God,James E. Faust,2764
1999,10,Priesthood Session,“Behold the Man”,Richard C. Edgley,1768
1999,10,Priesthood Session,Growing into the Priesthood,Joseph B. Wirthlin,2473
1999,10,Priesthood Session,Of Seeds and Soils,James E. Faust,2267
1999,10,Priesthood Session,Priesthood Power,Thomas S. Monson,2417
1999,10,Priesthood Session,The Faith of a Sparrow:Faith and Trust in the Lord Jesus Christ,H. Bruce Stucki,1235
1999,10,Priesthood Session,Why We Do Some of the Things We Do,Gordon B. Hinckley,2486
1999,10,Saturday Afternoon Session,“An High Priest of Good Things to Come”,Jeffrey R. Holland,2143
1999,10,Saturday Afternoon Session,“For This Cause Came I into the World”,Alexander B. Morrison,1973
1999,10,Saturday Afternoon Session,Do Not Delay,Henry B. Eyring,2609
1999,10,Saturday Afternoon Session,Our Legacy,Stephen B. Oveson,1235
1999,10,Saturday Afternoon Session,Serving the Lord,Adhemar Damiani,1072
1999,10,Saturday Afternoon Session,Spiritual Hurricanes,David R. Stone,1223
1999,10,Saturday Afternoon Session,The Spirit of Revelation,Boyd K. Packer,1884
1999,10,Saturday Afternoon Session,The Sustaining of Church Officers,James E. Faust,502
1999,10,Saturday Morning Session,“Feed My Sheep”,Ben B. Banks,1920
1999,10,Saturday Morning Session,Agency—A Blessing and a Burden,Sharon G. Larsen,1466
1999,10,Saturday Morning Session,Becoming Our Best Selves,Thomas S. Monson,2451
1999,10,Saturday Morning Session,Lessons from Laman and Lemuel,Neal A. Maxwell,1979
1999,10,Saturday Morning Session,One Link Still Holds,Vaughn J. Featherstone,2159
1999,10,Saturday Morning Session,Prophets and Spiritual Mole Crickets,Neil L. Andersen,1590
1999,10,Saturday Morning Session,Welcome to Conference,Gordon B. Hinckley,904
1999,10,Sunday Afternoon Session,“No Man Is an Island”,Richard H. Winkel,1349
1999,10,Sunday Afternoon Session,“The Tongue of Angels”,Robert S. Wood,1244
1999,10,Sunday Afternoon Session,A Year of Jubilee,L. Tom Perry,2147
1999,10,Sunday Afternoon Session,Good-bye to This Wonderful Old Tabernacle,Gordon B. Hinckley,1315
1999,10,Sunday Afternoon Session,Gospel Teaching,Dallin H. Oaks,2405
1999,10,Sunday Afternoon Session,He Lives,Richard G. Scott,2127
1999,10,Sunday Afternoon Session,Righteousness,William R. Bradford,1457
1999,10,Sunday Morning Session,A Testimony of the Book of Mormon,Russell M. Nelson,1873
1999,10,Sunday Morning Session,At the Summit of the Ages,Gordon B. Hinckley,2304
1999,10,Sunday Morning Session,Beware of False Prophets and False Teachers,M. Russell Ballard,2160
1999,10,Sunday Morning Session,"Hope, an Anchor of the Soul",James E. Faust,2154
1999,10,Sunday Morning Session,Our Destiny,L. Aldin Porter,1392
1999,10,Sunday Morning Session,"Peace, Hope, and Direction",Patricia P. Pinegar,1767
2000,4,General Young Women Meeting,Integrity,Carol B. Thomas,1501
2000,4,General Young Women Meeting,Stand as a Witness,Margaret D. Nadauld,1922
2000,4,General Young Women Meeting,Standing with God,Sharon G. Larsen,1690
2000,4,General Young Women Meeting,Womanhood:The Highest Place of Honor,James E. Faust,2120
2000,4,Priesthood Session,Honoring the Priesthood,H. David Burton,1633
2000,4,Priesthood Session,The Power of Self-Mastery,James E. Faust,2167
2000,4,Priesthood Session,The Sanctity of Womanhood,Richard G. Scott,1836
2000,4,Priesthood Session,The Stake President,Gordon B. Hinckley,2455
2000,4,Priesthood Session,Your Eternal Voyage,Thomas S. Monson,2247
2000,4,Priesthood Session,Your Own Personal Testimony,Angel Abrea,1818
2000,4,Saturday Afternoon Session,“Are You Still Here?”,Gary J. Coleman,1703
2000,4,Saturday Afternoon Session,“How Is It with Us?”,M. Russell Ballard,2160
2000,4,Saturday Afternoon Session,“Thou Shalt Give Heed unto All His Words”,L. Tom Perry,2027
2000,4,Saturday Afternoon Session,A Temple for West Africa,Glenn L. Pace,1222
2000,4,Saturday Afternoon Session,"Faith, Devotion, and Gratitude",David B. Haight,1746
2000,4,Saturday Afternoon Session,Keep an Eternal Perspective,Jay E. Jensen,1120
2000,4,Saturday Afternoon Session,"Statistical Report, 1999",F. Michael Watson,125
2000,4,Saturday Afternoon Session,The Church Audit Committee Report,Ted E. Davis,338
2000,4,Saturday Afternoon Session,The Sustaining of Church Officers,Thomas S. Monson,572
2000,4,Saturday Morning Session,Future Leaders,Harold G. Hillam,1426
2000,4,Saturday Morning Session,Living Happily Ever After,Coleen K. Menlove,1690
2000,4,Saturday Morning Session,Resurrection,Dallin H. Oaks,2392
2000,4,Saturday Morning Session,The Cloven Tongues of Fire,Boyd K. Packer,2039
2000,4,Saturday Morning Session,The Shield of Faith,James E. Faust,2260
2000,4,Saturday Morning Session,To All the World in Testimony,Gordon B. Hinckley,1790
2000,4,Sunday Afternoon Session,“Because My Father Sent Me”,Loren C. Dunn,1347
2000,4,Sunday Afternoon Session,A Brief Introduction to the Church,John B. Dickson,1379
2000,4,Sunday Afternoon Session,A Time of New Beginnings,Gordon B. Hinckley,959
2000,4,Sunday Afternoon Session,As Doves to Our Windows,Jeffrey R. Holland,2318
2000,4,Sunday Afternoon Session,Content with the Things Allotted unto Us,Neal A. Maxwell,2058
2000,4,Sunday Afternoon Session,Heavenly Father Has a Special Plan,Yoshihiko Kikuchi,1415
2000,4,Sunday Afternoon Session,The Creation,Russell M. Nelson,2029
2000,4,Sunday Morning Session,Finding a Safe Harbor,Joseph B. Wirthlin,2226
2000,4,Sunday Morning Session,My Testimony,Gordon B. Hinckley,2328
2000,4,Sunday Morning Session,The Widows of Zion,Earl C. Tingey,1323
2000,4,Sunday Morning Session,Watch Over and Strengthen,Henry B. Eyring,2451
2000,4,Sunday Morning Session,We Are Creators,Mary Ellen W. Smoot,1228
2000,4,Sunday Morning Session,Your Eternal Home,Thomas S. Monson,2246
2000,10,General Relief Society Meeting,Ripples,Virginia U. Jensen,1806
2000,10,General Relief Society Meeting,Stand Tall and Stand Together,Sheri L. Dew,2090
2000,10,General Relief Society Meeting,We Are Instruments in the Hands of God,Mary Ellen W. Smoot,2322
2000,10,General Relief Society Meeting,"Your Greatest Challenge, Mother",Gordon B. Hinckley,2957
2000,10,Priesthood Session,“Great Shall Be the Peace of Thy Children”,Gordon B. Hinckley,2867
2000,10,Priesthood Session,“Sanctify Yourselves”,Jeffrey R. Holland,2083
2000,10,Priesthood Session,"Living Prophets, Seers, and Revelators",Dennis B. Neuenschwander,1418
2000,10,Priesthood Session,Satan’s Bag of Snipes,Richard C. Edgley,1406
2000,10,Priesthood Session,The Call to Serve,Thomas S. Monson,2324
2000,10,Priesthood Session,The Enemy Within,James E. Faust,2308
2000,10,Saturday Afternoon Session,Cultivate Righteous Traditions,Donald L. Hallstrom,1046
2000,10,Saturday Afternoon Session,One by One,Ronald A. Rasband,1148
2000,10,Saturday Afternoon Session,Pure Testimony,Joseph B. Wirthlin,2320
2000,10,Saturday Afternoon Session,Seeking the Spirit of God,Douglas L. Callister,1014
2000,10,Saturday Afternoon Session,The Challenge to Become,Dallin H. Oaks,2468
2000,10,Saturday Afternoon Session,The Path to Peace and Joy,Richard G. Scott,1871
2000,10,Saturday Afternoon Session,The Sustaining of Church Officers,James E. Faust,587
2000,10,Saturday Afternoon Session,The Tugs and Pulls of the World,Neal A. Maxwell,2046
2000,10,Saturday Morning Session,“Come and See”,Alexander B. Morrison,711
2000,10,Saturday Morning Session,A Great Family in Reverence and Worship,Gordon B. Hinckley,231
2000,10,Saturday Morning Session,Be a Strong Link,David B. Haight,2016
2000,10,Saturday Morning Session,Living by Scriptural Guidance,Russell M. Nelson,1951
2000,10,Saturday Morning Session,Testimony,Loren C. Dunn,640
2000,10,Saturday Morning Session,The Covenant of Baptism:To Be in the Kingdom and of the Kingdom,Robert D. Hales,2652
2000,10,Saturday Morning Session,The Joy of Womanhood,Margaret D. Nadauld,1638
2000,10,Saturday Morning Session,The Redemption of the Dead and the Testimony of Jesus,D. Todd Christofferson,1981
2000,10,Sunday Afternoon Session,“An Humble and a Contrite Heart”,Gordon B. Hinckley,812
2000,10,Sunday Afternoon Session,“Write upon My Heart”,Henry B. Eyring,2419
2000,10,Sunday Afternoon Session,“Ye Are the Temple of God”,Boyd K. Packer,2389
2000,10,Sunday Afternoon Session,Freedom “from” or Freedom “to”,F. Enzio Busche,1425
2000,10,Sunday Afternoon Session,Now Is the Time,M. Russell Ballard,2135
2000,10,Sunday Afternoon Session,Retaining a Remission of Sin,Keith Crockett,1177
2000,10,Sunday Afternoon Session,Sharing the Gospel,Robert C. Oaks,1121
2000,10,Sunday Afternoon Session,The Blessing of Keeping the Sabbath Day Holy,H. Aldridge Gillespie,1134
2000,10,Sunday Morning Session,"“Lead, Kindly Light”",Virginia U. Jensen,1231
2000,10,Sunday Morning Session,A Growing Testimony,James E. Faust,2050
2000,10,Sunday Morning Session,Dedication Day,Thomas S. Monson,2028
2000,10,Sunday Morning Session,Discipleship,L. Tom Perry,1990
2000,10,Sunday Morning Session,This Great Millennial Year,Gordon B. Hinckley,3752
2001,4,General Young Women Meeting,"A Comforter, a Guide, a Testifier",Margaret D. Nadauld,2142
2001,4,General Young Women Meeting,Developing Our Talent for Spirituality,Carol B. Thomas,1695
2001,4,General Young Women Meeting,How Can I Become the Woman of Whom I Dream?,Gordon B. Hinckley,2870
2001,4,General Young Women Meeting,Your Celestial Guide,Sharon G. Larsen,1765
2001,4,Priesthood Session,“Them That Honour Me I Will Honour”,James E. Faust,2160
2001,4,Priesthood Session,“Watch with Me”,Henry B. Eyring,2573
2001,4,Priesthood Session,Priesthood Power,John H. Groberg,1467
2001,4,Priesthood Session,The Perpetual Education Fund,Gordon B. Hinckley,2236
2001,4,Priesthood Session,To the Rescue,Thomas S. Monson,2141
2001,4,Priesthood Session,You Can’t Pet a Rattlesnake,David E. Sorensen,1631
2001,4,Saturday Afternoon Session,“The Touch of the Master’s Hand”,Boyd K. Packer,2033
2001,4,Saturday Afternoon Session,“To Bear Testimony of Mine Only Begotten”,L. Aldin Porter,1864
2001,4,Saturday Afternoon Session,Building a Community of Saints,L. Tom Perry,2199
2001,4,Saturday Afternoon Session,Church Auditing Department Report,Wesley L. Jones,492
2001,4,Saturday Afternoon Session,Couple Missionaries:A Time to Serve,Robert D. Hales,2291
2001,4,Saturday Afternoon Session,"David, a Future Missionary",Darwin B. Christenson,1085
2001,4,Saturday Afternoon Session,Personal Preparation for Temple Blessings,Russell M. Nelson,1831
2001,4,Saturday Afternoon Session,"Statistical Report, 2000",F. Michael Watson,105
2001,4,Saturday Afternoon Session,The Sustaining of Church Officers,Thomas S. Monson,486
2001,4,Saturday Morning Session,“To Walk Humbly with Thy God”,Marlin K. Jensen,1796
2001,4,Saturday Morning Session,“Witnesses unto Me”,Jeffrey R. Holland,2152
2001,4,Saturday Morning Session,A God of Miracles,Sydney S. Reynolds,1789
2001,4,Saturday Morning Session,Compassion,Thomas S. Monson,2417
2001,4,Saturday Morning Session,First Things First,Richard G. Scott,2199
2001,4,Saturday Morning Session,The Work Goes On,Gordon B. Hinckley,1286
2001,4,Sunday Afternoon Session,Building the Kingdom,Bruce D. Porter,1267
2001,4,Sunday Afternoon Session,Enhancing Our Temple Experience,L. Lionel Kendrick,1557
2001,4,Sunday Afternoon Session,Focus and Priorities,Dallin H. Oaks,2519
2001,4,Sunday Afternoon Session,Good-bye for Another Season,Gordon B. Hinckley,676
2001,4,Sunday Afternoon Session,Gratitude and Service,David B. Haight,2277
2001,4,Sunday Afternoon Session,The Law of the Fast,Joseph B. Wirthlin,2343
2001,4,Sunday Afternoon Session,United in Love and Testimony,John K. Carmack,1399
2001,4,Sunday Morning Session,“His Word Ye Shall Receive”,M. Russell Ballard,2088
2001,4,Sunday Morning Session,“Plow in Hope”,Neal A. Maxwell,2055
2001,4,Sunday Morning Session,An Invitation with Promise,Keith B. McMullin,1357
2001,4,Sunday Morning Session,Born Again,James E. Faust,2356
2001,4,Sunday Morning Session,Sacrifice:An Eternal Investment,Carol B. Thomas,1365
2001,4,Sunday Morning Session,The Miracle of Faith,Gordon B. Hinckley,2096
2001,10,General Relief Society Meeting,“Be Thou an Example”,Thomas S. Monson,2261
2001,10,General Relief Society Meeting,Are We Not All Mothers?,Sheri L. Dew,1950
2001,10,General Relief Society Meeting,Stand Firm,Virginia U. Jensen,1871
2001,10,General Relief Society Meeting,Steadfast and Immovable,Mary Ellen W. Smoot,1878
2001,10,Priesthood Session,“Some Great Thing”,James E. Faust,2261
2001,10,Priesthood Session,Create or Continue Priesthood Links,Keith K. Hilbig,1034
2001,10,Priesthood Session,Duty Calls,Thomas S. Monson,2182
2001,10,Priesthood Session,Fulfilling Our Duty to God,Robert D. Hales,2504
2001,10,Priesthood Session,Gratitude,Steven E. Snow,1069
2001,10,Priesthood Session,Our Duty to God,Cecil O. Samuelson Jr.,1457
2001,10,Priesthood Session,Reaching Down to Lift Another,Gordon B. Hinckley,2702
2001,10,Saturday Afternoon Session,“Help Thou Mine Unbelief”,L. Whitney Clayton,1342
2001,10,Saturday Afternoon Session,“Like a Watered Garden”,Jeffrey R. Holland,1963
2001,10,Saturday Afternoon Session,Doctrine of Inclusion,M. Russell Ballard,2329
2001,10,Saturday Afternoon Session,Faith of Our Prophets,David B. Haight,2134
2001,10,Saturday Afternoon Session,One Step after Another,Joseph B. Wirthlin,2390
2001,10,Saturday Afternoon Session,Our Father’s Plan,Christoffel Golden Jr.,972
2001,10,Saturday Afternoon Session,The Sustaining of Church Officers,James E. Faust,634
2001,10,Saturday Afternoon Session,Writing Gospel Principles in Our Hearts,Walter F. González,1025
2001,10,Saturday Morning Session,Building a Bridge of Faith,Charles A. Didier,1710
2001,10,Saturday Morning Session,It Is Not Good for Man or Woman to Be Alone,Sheri L. Dew,1695
2001,10,Saturday Morning Session,Living in the Fulness of Times,Gordon B. Hinckley,1465
2001,10,Saturday Morning Session,Prayer,Henry B. Eyring,2385
2001,10,Saturday Morning Session,Sharing the Gospel,Dallin H. Oaks,2416
2001,10,Saturday Morning Session,The Atonement:Our Greatest Hope,James E. Faust,2245
2001,10,Sunday Afternoon Session,“The First and Great Commandment”,Robert F. Orton,1323
2001,10,Sunday Afternoon Session,“Till We Meet Again”,Gordon B. Hinckley,1104
2001,10,Sunday Afternoon Session,Beware of Murmuring,H. Ross Workman,1564
2001,10,Sunday Afternoon Session,Our Actions Determine Our Character,Wayne S. Peterson,1304
2001,10,Sunday Afternoon Session,The Power of a Strong Testimony,Richard G. Scott,2032
2001,10,Sunday Afternoon Session,The Returned Missionary,L. Tom Perry,2333
2001,10,Sunday Afternoon Session,The Seventh Commandment:A Shield,Neal A. Maxwell,2141
2001,10,Sunday Morning Session,“Fear Not:For They That Be with Us Are More”,Sharon G. Larsen,1435
2001,10,Sunday Morning Session,“Set in Order Thy House”,Russell M. Nelson,1890
2001,10,Sunday Morning Session,Now Is the Time,Thomas S. Monson,2261
2001,10,Sunday Morning Session,Standing Tall,H. David Burton,1460
2001,10,Sunday Morning Session,The Book of Mormon:Another Testament of Jesus Christ,Boyd K. Packer,2070
2001,10,Sunday Morning Session,The Times in Which We Live,Gordon B. Hinckley,2432
2002,4,General Young Women Meeting,Hold High the Torch,Margaret D. Nadauld,1943
2002,4,General Young Women Meeting,Pathways to Perfection,Thomas S. Monson,2387
2002,4,General Young Women Meeting,Standing in Holy Places,Sharon G. Larsen,1631
2002,4,General Young Women Meeting,Strengthen Home and Family,Carol B. Thomas,1560
2002,4,Priesthood Session,Becoming a Great Benefit to Our Fellow Beings,Spencer J. Condie,1593
2002,4,Priesthood Session,Becoming Men in Whom the Spirit of God Is,L. Tom Perry,2337
2002,4,Priesthood Session,It Can’t Happen to Me,James E. Faust,2109
2002,4,Priesthood Session,Personal Worthiness to Exercise the Priesthood,Gordon B. Hinckley,2501
2002,4,Priesthood Session,They Pray and They Go,Thomas S. Monson,2293
2002,4,Priesthood Session,This Road We Call Life,Ben B. Banks,1503
2002,4,Saturday Afternoon Session,Being Teachable,Robert R. Steuer,1029
2002,4,Saturday Afternoon Session,Church Auditing Department Report,Wesley L. Jones,312
2002,4,Saturday Afternoon Session,Consecrate Thy Performance,Neal A. Maxwell,1936
2002,4,Saturday Afternoon Session,Faith Obedience,R. Conrad Schultz,1267
2002,4,Saturday Afternoon Session,Full Conversion Brings Happiness,Richard G. Scott,1698
2002,4,Saturday Afternoon Session,"Statistical Report, 2001",F. Michael Watson,169
2002,4,Saturday Afternoon Session,The Gospel in Our Lives,Dallin H. Oaks,2204
2002,4,Saturday Afternoon Session,The Sustaining of Church Officers,Thomas S. Monson,541
2002,4,Saturday Afternoon Session,True Friends,Henry B. Eyring,2367
2002,4,Saturday Morning Session,“Follow Me”,Joseph B. Wirthlin,2358
2002,4,Saturday Morning Session,Children,Boyd K. Packer,2187
2002,4,Saturday Morning Session,Developing Inner Strength,Mary Ellen W. Smoot,1311
2002,4,Saturday Morning Session,Hidden Wedges,Thomas S. Monson,2427
2002,4,Saturday Morning Session,The Church Goes Forward,Gordon B. Hinckley,1886
2002,4,Saturday Morning Session,The Law of Tithing,Earl C. Tingey,1679
2002,4,Sunday Afternoon Session,Charity:Perfect and Everlasting Love,Gene R. Cook,1271
2002,4,Sunday Afternoon Session,Eternal Life through Jesus Christ,John M. Madsen,1100
2002,4,Sunday Afternoon Session,Feel the Love of the Lord,Bonnie D. Parkin,659
2002,4,Sunday Afternoon Session,How Firm Our Foundation,Russell M. Nelson,1863
2002,4,Sunday Afternoon Session,I’ll Go Where You Want Me to Go,William R. Walker,250
2002,4,Sunday Afternoon Session,Some Basic Teachings from the History of Joseph Smith,Carlos H. Amado,1341
2002,4,Sunday Afternoon Session,The Opportunity to Serve,Gerald N. Lund,681
2002,4,Sunday Afternoon Session,The Peaceable Things of the Kingdom,M. Russell Ballard,2356
2002,4,Sunday Afternoon Session,We Look to Christ,Gordon B. Hinckley,1143
2002,4,Sunday Morning Session,For Thy Good,Richard C. Edgley,1368
2002,4,Sunday Morning Session,Out of Darkness into His Marvelous Light,Robert D. Hales,2200
2002,4,Sunday Morning Session,The Language of Love,Gayle M. Clegg,1691
2002,4,Sunday Morning Session,The Lifeline of Prayer,James E. Faust,2233
2002,4,Sunday Morning Session,The Other Prodigal,Jeffrey R. Holland,2008
2002,4,Sunday Morning Session,We Walk by Faith,Gordon B. Hinckley,1999
2002,10,General Relief Society Meeting,Blessing Our Families through Our Covenants,Kathleen H. Hughes,1369
2002,10,General Relief Society Meeting,"Charity:One Family, One Home at a Time",Anne C. Pingree,1163
2002,10,General Relief Society Meeting,With Holiness of Heart,Bonnie D. Parkin,1722
2002,10,General Relief Society Meeting,You Are All Heaven Sent,James E. Faust,3017
2002,10,Priesthood Session,"I Believe I Can, I Knew I Could",James E. Faust,2269
2002,10,Priesthood Session,"Peace, Be Still",Thomas S. Monson,2367
2002,10,Priesthood Session,The Greatest Generation of Missionaries,M. Russell Ballard,2339
2002,10,Priesthood Session,The Stake Patriarch,Boyd K. Packer,2241
2002,10,Priesthood Session,To Men of the Priesthood,Gordon B. Hinckley,2549
2002,10,Saturday Afternoon Session,“Blessed Are the Peacemakers”,Russell M. Nelson,1834
2002,10,Saturday Afternoon Session,But If Not,Lance B. Wickman,1761
2002,10,Saturday Afternoon Session,Called to Serve,Jeffrey R. Holland,2064
2002,10,Saturday Afternoon Session,Sacrifice Brings Forth the Blessings of Heaven,Robert K. Dellenbach,1411
2002,10,Saturday Afternoon Session,The Sustaining of Church Officers,Thomas S. Monson,728
2002,10,Saturday Afternoon Session,Tithing:A Test of Faith with Eternal Blessings,Robert D. Hales,2522
2002,10,Saturday Afternoon Session,Were There Not Ten Cleansed?,David B. Haight,1549
2002,10,Saturday Morning Session,"“O That I Were an Angel, and Could Have the Wish of Mine Heart”",Gordon B. Hinckley,1428
2002,10,Saturday Morning Session,A Voice of Gladness for Our Children,Coleen K. Menlove,1677
2002,10,Saturday Morning Session,Called of God,L. Tom Perry,2164
2002,10,Saturday Morning Session,Encircled in the Arms of His Love,Neal A. Maxwell,1932
2002,10,Saturday Morning Session,The Global Church Blessed by the Voice of the Prophets,Dieter F. Uchtdorf,1405
2002,10,Saturday Morning Session,What’s in It for Me?,James E. Faust,2358
2002,10,Sunday Afternoon Session,Come to Zion! Come to Zion!,Keith B. McMullin,1725
2002,10,Sunday Afternoon Session,"Dad, Are You Awake?",F. Melvin Hammond,1486
2002,10,Sunday Afternoon Session,Each a Better Person,Gordon B. Hinckley,866
2002,10,Sunday Afternoon Session,Fun and Happiness,Claudio R. M. Costa,1653
2002,10,Sunday Afternoon Session,Shall He Find Faith on the Earth?,Joseph B. Wirthlin,2598
2002,10,Sunday Afternoon Session,To Be Free of Heavy Burdens,Richard G. Scott,2070
2002,10,Sunday Afternoon Session,Yielding to the Enticings of the Holy Spirit,Kenneth Johnson,1777
2002,10,Sunday Morning Session,A Woman of Faith,Margaret D. Nadauld,1177
2002,10,Sunday Morning Session,I’ll Go Where You Want Me to Go,Dallin H. Oaks,2397
2002,10,Sunday Morning Session,Models to Follow,Thomas S. Monson,2220
2002,10,Sunday Morning Session,Rise to Your Call,Henry B. Eyring,2298
2002,10,Sunday Morning Session,That They May Be One in Us,D. Todd Christofferson,1360
2002,10,Sunday Morning Session,The Marvelous Foundation of Our Faith,Gordon B. Hinckley,2355
2003,4,General Young Women Meeting,Press Forward and Be Steadfast,Elaine S. Dalton,1444
2003,4,General Young Women Meeting,Steadfast in Our Covenants,Susan W. Tanner,1779
2003,4,General Young Women Meeting,The Virtues of Righteous Daughters of God,James E. Faust,2101
2003,4,General Young Women Meeting,There Is Hope Smiling Brightly before Us,Julie B. Beck,1387
2003,4,Priesthood Session,And That’s the Way It Is,H. David Burton,1376
2003,4,Priesthood Session,Growing into the Priesthood,David B. Haight,2049
2003,4,Priesthood Session,Loyalty,Gordon B. Hinckley,2328
2003,4,Priesthood Session,Preparing for Missionary Service,Daryl H. Garn,1363
2003,4,Priesthood Session,Stand in Your Appointed Place,Thomas S. Monson,2375
2003,4,Priesthood Session,The Devil’s Throat,James E. Faust,2164
2003,4,Saturday Afternoon Session,A Child and a Disciple,Henry B. Eyring,2456
2003,4,Saturday Afternoon Session,Church Auditing Department Report,Wesley L. Jones,343
2003,4,Saturday Afternoon Session,"Seek, and Ye Shall Find",Craig C. Christensen,1086
2003,4,Saturday Afternoon Session,"Statistical Report, 2002",F. Michael Watson,177
2003,4,Saturday Afternoon Session,The Essential Role of Member Missionary Work,M. Russell Ballard,2220
2003,4,Saturday Afternoon Session,The Importance of the Family,L. Tom Perry,2019
2003,4,Saturday Afternoon Session,The Sustaining of Church Officers,James E. Faust,613
2003,4,Saturday Afternoon Session,The Unspeakable Gift,Joseph B. Wirthlin,2210
2003,4,Saturday Afternoon Session,Words to Live By,James M. Dunn,1016
2003,4,Saturday Morning Session,Blessed by Living Water,Kathleen H. Hughes,1493
2003,4,Saturday Morning Session,Faith through Tribulation Brings Peace and Joy,Robert D. Hales,2283
2003,4,Saturday Morning Session,Forgiveness Will Change Bitterness to Love,David E. Sorensen,1685
2003,4,Saturday Morning Session,In Search of Treasure,Thomas S. Monson,2442
2003,4,Saturday Morning Session,Sweet Power of Prayer,Russell M. Nelson,1588
2003,4,Saturday Morning Session,The Condition of the Church,Gordon B. Hinckley,1231
2003,4,Special Satellite Broadcast for Children,"I Can Pray to Heavenly Father Anytime, Anywhere",Sydney S. Reynolds,886
2003,4,Special Satellite Broadcast for Children,Show You Know,Coleen K. Menlove,1215
2003,4,Special Satellite Broadcast for Children,The Light of His Love,Gayle M. Clegg,990
2003,4,Special Satellite Broadcast for Children,You Are a Child of God,Gordon B. Hinckley,1927
2003,4,Sunday Afternoon Session,A Prayer for the Children,Jeffrey R. Holland,2111
2003,4,Sunday Afternoon Session,Benediction,Gordon B. Hinckley,703
2003,4,Sunday Afternoon Session,Eternal Marriage,F. Burton Howard,1858
2003,4,Sunday Afternoon Session,Follow the Instructions,D. Rex Gerratt,1073
2003,4,Sunday Afternoon Session,Give Thanks in All Things,Dallin H. Oaks,2447
2003,4,Sunday Afternoon Session,Overcoming the Stench of Sin,Spencer V. Jones,1038
